method,metab_date,metab_stream,Q_m3/s,ER_PriorMean,ER_PriorSD,ER_L95per,ER_post_median,ER_U95per,K_PriorMean,K_PriorSD,K_L95per,K_post_median,K_U95per
Hood,7/2/16,st9,0.0058,-22.8447,5.7112,-33.7348,-22.1229,-12.2943,683.0000,170.7500,381.7933,678.9396,999.4217
Hood,7/5/16,st9,0.0049,-23.7321,5.9330,-35.6150,-23.7941,-13.1133,683.0000,170.7500,399.1443,704.1056,1014.9876
Hood,7/8/16,st9,0.0045,-24.9638,6.2410,-36.8346,-24.6228,-12.4380,683.0000,170.7500,361.5476,696.9465,1022.6888
Hood,7/15/16,st9,0.0032,-20.2393,5.0598,-29.9623,-20.4213,-10.4951,683.0000,170.7500,394.4562,705.2528,1045.1730
Hood,7/17/16,st9,0.0027,-18.3194,4.5799,-27.6667,-18.2110,-9.9095,585.4027,146.3507,329.9827,594.5448,878.7399
Plus Benoit,7/2/16,st9,0.0058,-35.9645,8.9911,-46.4126,-33.6555,-18.4779,1170.5631,292.6408,795.2206,1228.1670,1807.8200
Plus Benoit,7/5/16,st9,0.0049,-31.7144,7.9286,-41.2138,-27.4639,-12.7061,965.3032,241.3258,607.7488,987.6125,1537.9025
Plus Benoit,7/8/16,st9,0.0045,-30.7646,7.6911,-44.7986,-31.6316,-18.4468,887.9166,221.9792,614.5896,956.0390,1318.2399
Plus Benoit,7/15/16,st9,0.0032,-18.7202,4.6801,-26.4642,-18.5209,-9.9282,619.4815,154.8704,338.5743,645.5534,886.3668
Plus Benoit,7/17/16,st9,0.0027,-16.6929,4.1732,-24.4740,-17.1822,-8.7806,516.7891,129.1973,376.7558,533.7710,730.0338
Plus Benoit,7/1/17,st9,0.0054,-40.6845,10.1711,-52.0846,-39.2036,-24.0554,1075.3538,268.8385,689.9787,1098.6129,1552.3950
Plus Benoit,7/6/17,st9,0.0059,-42.9996,10.7499,-61.2734,-44.6588,-25.7884,1182.6141,295.6535,870.1444,1261.0788,1971.1991
Plus Benoit,7/16/17,st9,0.0063,-34.1147,8.5287,-48.4886,-35.8127,-20.5561,1278.8678,319.7170,916.2373,1408.8565,1958.4765
Plus Benoit,7/25/17,st9,0.0030,-12.2347,3.0587,-17.6940,-11.9096,-5.5571,585.6554,146.4138,316.2877,600.4716,922.6727
Plus Benoit,8/3/17,st9,0.0033,-21.4746,5.3687,-31.1758,-19.8102,-12.1831,636.5501,159.1375,327.7270,666.2150,982.9783
Hood,7/1/17,st9,0.0054,-30.6587,7.6647,-44.6814,-30.8852,-16.4210,683.0000,170.7500,379.3902,686.7379,1005.9133
Hood,7/6/17,st9,0.0059,-30.6777,7.6694,-45.6273,-31.2797,-17.0745,683.0000,170.7500,395.1724,698.1426,1013.5191
Hood,7/16/17,st9,0.0063,-22.6452,5.6613,-33.8084,-22.8146,-11.1302,683.0000,170.7500,396.9297,706.1132,1018.8639
Hood,7/25/17,st9,0.0030,-13.7925,3.4481,-20.3787,-13.5090,-6.7600,683.0000,170.7500,409.0229,705.9883,1018.3855
Hood,8/3/17,st9,0.0033,-22.5638,5.6409,-32.9340,-22.7417,-12.7141,683.0000,170.7500,413.3015,702.6770,994.0347